CustomerID,Gender,Age,Location,MembershipPeriod,PreferredCategory,VisitFrequency,AvgSessionTime,PagesViewed,PurchaseFrequency,AvgOrderValue,TotalSpent,LastPurchaseDaysAgo,DiscountUsed,CustomerSatisfaction,ReturnCount,ComplaintHistory,AppUsage,CartAbandonRate,CLV,ChurnRisk
C0015,Male,22,Hyderabad,15,Grocery,13,26.35,14,9.03,6029.8,57818.48,168,1,4,5,3,High,0.46,75874.76,0
C0016,Male,40,Surat,7,Books,22,31.4,17,0.56,6281.41,3444.14,173,1,1,0,1,Medium,0.87,1565.44,1
C0017,Male,54,Chennai,7,Beauty,6,4.66,18,4.63,3072.12,14658.34,99,0,5,5,0,Medium,0.03,10017.4,0
C0018,Female,26,Ahmedabad,50,Beauty,14,22.2,4,9.83,7566.4,72067.54,68,1,2,7,0,High,0.8,236760.68,0
C0019,Male,32,Bangalore,29,Home Decor,27,13.45,3,12.28,3569.21,45311.99,168,0,4,5,2,Medium,0.45,129356.49,1
C0020,Male,20,Pune,23,Books,10,42.76,8,5.03,7207.29,39074.48,41,0,1,1,1,Low,0.46,50186.15,0
C0021,Female,46,Mumbai,34,Beauty,20,17.48,4,9.89,6905.13,71042.59,1,0,3,6,2,High,0.33,211806.33,0
C0022,Male,23,Hyderabad,20,Fashion,16,6.31,15,4.35,1257.35,5656.98,9,1,4,11,2,Medium,0.61,11442.11,0
C0023,Male,34,Pune,15,Electronics,18,3.78,13,10.51,7740.28,85538.43,75,0,2,2,2,High,0.68,81412.48,1
C0024,Male,43,Ahmedabad,33,Grocery,13,13.41,14,10.62,7971.83,84664.42,80,0,3,8,4,Medium,0.16,252412.96,1
C0025,Male,38,Jaipur,53,Toys,10,9.69,14,2.39,4967.33,11207.79,93,1,3,11,0,Low,0.57,56311.99,0
C0026,Female,25,Ahmedabad,17,Grocery,6,29.94,5,10.14,6329.95,68236.09,143,0,5,10,4,Medium,0.46,106203.47,0
C0027,Male,38,Ahmedabad,20,Fashion,10,38.42,5,5.34,7489.39,41181.0,59,1,5,7,4,Low,0.78,73845.77,0
C0028,Female,28,Bangalore,57,Toys,5,15.44,13,3.0,454.19,1311.83,10,0,4,5,0,High,0.55,7381.78,0
C0029,Female,55,Chennai,13,Electronics,29,26.85,4,7.76,7460.92,55301.46,177,0,2,0,2,Medium,0.43,47253.74,1
C0030,Male,25,Chennai,44,Electronics,6,33.4,18,7.06,5130.72,36222.37,139,1,5,1,1,Low,0.53,167351.55,0
C0031,Female,59,Pune,24,Fashion,7,19.13,6,11.72,6679.11,73696.8,30,1,1,11,2,Medium,0.49,126451.79,0
C0032,Male,41,Jaipur,54,Sports,11,4.85,5,1.73,4463.56,8306.11,23,1,3,7,2,High,0.94,37181.91,0
C0033,Male,52,Jaipur,47,Sports,16,11.85,3,11.95,4385.2,55427.57,22,1,1,5,4,High,0.31,163858.29,1
C0034,Female,31,Surat,56,Electronics,25,39.97,3,2.04,7210.89,14146.27,179,0,3,0,1,Medium,0.04,72351.42,1
C0035,Female,31,Mumbai,37,Sports,12,37.45,3,3.51,4207.53,13437.51,42,0,1,8,0,Low,0.66,35142.3,0
C0036,Female,27,Ahmedabad,7,Sports,12,5.72,2,7.98,3932.78,28570.79,29,0,3,7,3,Medium,0.6,18681.11,0
C0037,Male,29,Mumbai,8,Sports,23,11.63,18,7.22,4983.05,34517.79,173,1,5,1,0,High,0.91,29584.54,0
C0038,Male,55,Delhi,23,Electronics,20,35.07,10,14.84,4292.99,59216.65,161,1,1,9,1,Medium,0.12,102751.28,1
C0039,Female,61,Kolkata,14,Toys,26,22.89,7,9.05,3736.41,36339.32,167,1,4,11,0,Medium,0.52,50175.89,0
C0040,Male,63,Ahmedabad,4,Sports,5,34.68,14,5.25,1690.03,8732.08,65,0,4,4,4,Medium,0.15,3390.42,1
C0041,Male,51,Mumbai,21,Toys,16,11.08,10,13.55,3359.98,44143.93,178,0,2,2,1,High,0.46,62273.57,1
C0042,Female,58,Bangalore,46,Grocery,29,42.97,16,5.03,2471.75,11731.44,112,1,2,0,3,Medium,0.8,35894.32,1
C0043,Male,27,Kolkata,10,Home Decor,6,35.7,6,4.47,3383.58,16156.71,86,0,2,6,3,Low,0.86,10582.85,1
C0044,Female,34,Jaipur,22,Electronics,29,10.49,17,7.67,4867.32,39516.04,48,1,1,8,1,Low,0.83,52243.39,0
C0045,Male,34,Ahmedabad,30,Fashion,9,26.01,6,13.74,4988.16,66951.73,37,1,3,11,0,Low,0.55,167608.67,0
C0046,Female,20,Ahmedabad,30,Sports,5,6.86,18,10.77,2137.69,21500.45,86,1,2,10,3,High,0.63,48836.46,1
C0047,Male,48,Jaipur,16,Beauty,21,17.54,10,10.32,950.49,10695.77,161,0,5,6,1,High,0.55,15191.65,0
C0048,Female,18,Surat,11,Electronics,23,30.36,10,11.03,6032.17,64084.49,134,0,4,2,1,High,0.56,70136.37,0
C0049,Female,29,Bangalore,22,Books,16,16.2,9,10.06,4369.99,46345.65,91,0,4,5,1,Medium,0.89,99640.97,0
C0050,Male,56,Ahmedabad,29,Fashion,18,30.24,15,11.52,3704.18,42356.8,70,1,5,2,2,Medium,0.21,135514.67,0
C0051,Female,21,Mumbai,25,Home Decor,19,12.53,11,3.3,1297.89,4524.3,55,0,4,3,0,Low,0.44,9770.94,0
C0052,Female,59,Ahmedabad,58,Grocery,12,33.01,7,3.07,3492.91,10683.79,172,0,1,0,1,Medium,0.61,44239.45,1
C0053,Female,30,Kolkata,14,Toys,2,17.46,18,5.75,6599.95,41179.69,50,1,5,1,1,High,0.77,49108.8,0
C0054,Female,51,Ahmedabad,14,Toys,26,35.99,2,12.84,4777.05,65022.76,54,0,1,0,2,Low,0.76,55472.31,1
C0055,Female,59,Mumbai,2,Books,10,7.88,2,10.86,1000.51,10344.62,105,0,4,9,4,Low,0.12,2136.91,1
C0056,Female,38,Hyderabad,54,Fashion,12,17.57,13,8.71,2858.52,24551.02,16,1,5,1,2,Low,0.22,140329.43,0
C0057,Male,39,Kolkata,13,Sports,14,21.95,11,0.78,7844.48,5629.92,128,0,5,3,1,Low,0.91,8632.91,0
C0058,Male,21,Pune,3,Beauty,18,20.23,19,3.92,4492.71,19032.56,47,0,5,5,0,High,0.36,4862.88,0
C0059,Male,35,Pune,30,Sports,19,20.62,1,12.15,2505.25,27816.77,130,1,4,10,2,Medium,0.0,95787.37,1
C0060,Male,22,Kolkata,18,Fashion,6,21.13,17,4.02,7333.52,26640.23,165,0,4,11,1,Medium,0.2,51179.33,1
C0061,Male,36,Bangalore,54,Electronics,5,44.52,18,11.09,2887.2,31996.21,93,0,4,7,0,High,0.97,186801.17,0
C0062,Male,19,Hyderabad,36,Books,27,10.31,8,3.18,5920.29,19214.83,23,1,2,9,2,High,0.31,43179.46,0
C0063,Female,29,Kolkata,21,Beauty,16,35.05,13,9.29,1433.6,12580.89,141,0,2,8,3,High,0.61,19368.33,1
C0064,Male,34,Mumbai,53,Toys,14,25.73,4,9.61,1505.0,14667.12,115,0,3,9,0,Medium,0.73,59595.49,0
C0065,Male,27,Delhi,19,Books,13,19.79,19,11.4,4622.12,56860.77,65,0,5,6,1,Low,0.65,109284.6,0
C0066,Female,51,Chennai,16,Books,21,29.24,3,6.86,2146.64,15097.38,48,0,4,3,0,Low,0.38,21225.75,0
C0067,Male,23,Ahmedabad,28,Beauty,2,38.7,6,9.67,679.86,6516.05,7,0,5,6,0,Medium,0.43,17424.36,0
C0068,Female,25,Surat,4,Toys,2,22.07,6,7.56,7433.78,52202.8,159,0,1,0,1,Low,0.84,15513.86,1
C0069,Male,28,Hyderabad,51,Toys,12,39.19,6,14.24,731.12,9721.81,173,1,1,10,3,High,0.66,37900.71,1
C0070,Female,29,Mumbai,55,Fashion,1,6.03,8,8.07,5824.27,46854.79,56,1,4,11,0,Medium,0.02,284028.15,0
C0071,Female,26,Surat,15,Home Decor,19,30.08,17,3.54,2863.99,10063.75,22,0,2,9,1,High,0.2,9475.99,0
C0072,Male,19,Pune,1,Home Decor,28,16.33,10,10.18,7487.99,76569.07,63,0,3,10,0,High,0.29,6107.3,0
C0073,Male,25,Kolkata,48,Sports,28,18.63,5,8.45,7892.6,66797.72,80,0,2,10,4,High,0.37,230141.39,1
C0074,Female,28,Hyderabad,47,Fashion,27,26.55,19,12.16,2882.82,33942.29,28,1,5,5,3,High,0.58,149353.97,0
C0075,Female,53,Jaipur,16,Beauty,16,22.64,11,3.07,4851.52,15477.61,172,0,2,0,4,Low,0.37,16628.47,1
C0076,Female,27,Ahmedabad,54,Fashion,7,18.42,10,4.28,6251.98,25218.32,103,1,4,7,0,High,0.83,142272.03,0
C0077,Female,38,Chennai,20,Beauty,27,15.26,3,13.86,1250.25,18549.53,142,0,2,3,3,Low,0.47,23977.13,1
C0078,Male,37,Pune,33,Books,21,28.59,10,13.99,5762.86,75694.71,85,1,1,7,1,High,0.5,178252.61,1
C0079,Male,25,Kolkata,17,Sports,7,23.74,2,6.91,7277.72,49443.06,147,0,4,7,4,High,0.43,87664.77,1
C0080,Male,53,Ahmedabad,5,Electronics,16,15.9,9,1.19,1674.47,1877.34,77,1,4,1,3,Low,0.31,1029.52,0
C0081,Female,46,Pune,5,Books,25,10.81,5,4.95,6758.07,34244.95,2,0,4,5,3,High,0.72,17165.27,0
C0082,Female,59,Jaipur,58,Toys,6,35.3,17,4.08,1190.15,4834.09,51,1,2,9,0,Low,0.23,19393.77,0
C0083,Male,29,Surat,39,Electronics,18,36.39,6,6.51,4675.92,29675.06,78,0,1,3,4,Medium,0.69,80226.5,1
C0084,Male,31,Chennai,13,Fashion,1,11.19,11,5.11,2913.1,14811.91,162,0,2,2,1,Medium,0.53,13453.05,1
C0085,Male,38,Chennai,44,Beauty,1,13.25,5,12.52,3932.21,48455.78,82,0,5,8,2,High,0.1,228575.89,0
C0086,Male,39,Ahmedabad,36,Electronics,26,12.28,7,0.54,2614.87,1512.33,51,0,3,11,0,High,0.02,4480.03,0
C0087,Female,38,Mumbai,30,Books,25,40.04,7,9.85,2306.15,21008.58,147,1,3,9,3,Medium,0.17,60804.07,1
C0088,Female,61,Ahmedabad,57,Beauty,14,35.29,4,10.13,6022.17,64581.66,164,0,3,11,4,Medium,0.76,279131.49,1
C0089,Female,47,Pune,4,Sports,6,5.21,10,10.08,2017.97,20973.05,118,1,5,8,2,Low,0.38,8536.4,0
C0090,Male,56,Mumbai,23,Books,6,37.8,18,8.05,3444.78,26889.25,154,1,5,1,3,Medium,0.8,69477.72,1
C0091,Male,37,Chennai,21,Toys,4,3.58,1,9.36,2414.09,24489.88,163,1,5,4,4,Low,0.5,46193.59,1
C0092,Female,41,Delhi,21,Fashion,12,12.89,14,12.25,2137.49,24492.47,63,0,1,9,4,Medium,0.03,38693.5,1
C0093,Female,40,Chennai,6,Beauty,18,41.52,6,11.87,5128.64,58567.14,104,0,4,9,2,Medium,0.85,35002.76,1
C0094,Female,24,Ahmedabad,24,Fashion,10,39.17,11,1.0,649.8,633.53,132,1,5,6,3,High,0.94,1458.33,1
C0095,Female,26,Pune,47,Beauty,3,35.6,14,0.94,6374.52,6169.17,85,0,3,8,2,Low,0.07,23217.4,1
C0096,Female,18,Mumbai,53,Books,3,21.67,3,12.66,4506.0,62139.15,3,1,3,7,1,Medium,0.21,267399.33,0
C0097,Female,43,Kolkata,31,Home Decor,8,15.82,16,8.83,6678.97,60077.53,5,1,2,9,0,Low,0.72,117180.63,0
C0098,Male,55,Mumbai,19,Home Decor,22,39.91,16,14.38,1940.22,29888.58,157,1,4,3,0,Medium,1.0,50836.61,0
C0099,Male,55,Jaipur,38,Beauty,23,30.25,7,6.76,5762.43,42109.09,119,1,5,2,1,Medium,0.88,141443.36,0
C0100,Male,61,Bangalore,12,Sports,25,14.71,8,3.06,3538.5,10755.19,19,1,4,0,3,Medium,0.1,12260.86,0
C0101,Male,39,Bangalore,14,Fashion,1,21.92,4,7.36,891.39,6524.46,115,0,5,0,2,Medium,0.61,9388.99,0
C0102,Female,61,Hyderabad,50,Toys,18,39.9,12,6.83,6094.07,39541.35,145,1,3,8,0,High,0.67,164524.61,1
C0103,Male,27,Surat,12,Grocery,15,40.85,12,8.0,6168.84,50353.39,34,0,4,3,1,Medium,0.63,64371.93,0
C0104,Female,23,Hyderabad,56,Beauty,25,30.35,10,12.22,2386.06,26941.83,20,1,4,7,4,Low,0.57,158251.49,0
C0105,Female,34,Hyderabad,56,Beauty,21,33.5,12,10.01,7353.55,75586.6,156,0,5,3,0,Medium,0.29,415706.04,0
C0106,Male,55,Mumbai,15,Home Decor,20,3.69,11,3.19,6182.57,21272.17,73,1,5,11,0,Medium,0.67,29046.18,0
C0107,Male,41,Pune,19,Electronics,17,28.0,11,11.15,2662.03,31229.74,138,0,4,5,1,Low,0.73,61614.09,1
C0108,Female,27,Hyderabad,28,Books,25,31.63,15,9.08,2141.14,20021.64,149,0,5,3,2,Low,0.58,53609.04,0
C0109,Male,25,Ahmedabad,40,Home Decor,11,2.88,6,8.89,3688.69,35011.87,116,0,4,1,0,Low,0.5,132840.77,0
C0110,Male,38,Mumbai,41,Fashion,13,38.29,11,10.33,2554.48,27600.64,4,1,2,0,2,Low,0.22,75926.56,0
C0111,Male,23,Pune,5,Home Decor,25,41.92,2,8.68,1971.08,17210.47,22,1,4,7,1,Low,0.54,7992.11,0
C0112,Male,38,Bangalore,5,Grocery,20,12.23,9,7.13,3373.08,24151.38,71,1,1,5,4,Low,0.13,7267.35,1
C0113,Female,56,Delhi,6,Sports,25,38.37,11,9.79,497.92,4491.49,12,0,4,0,0,Low,0.07,2898.41,0
C0114,Female,41,Ahmedabad,23,Books,10,30.62,16,10.99,3390.87,36776.85,139,0,2,4,2,High,0.78,57719.41,1
C0115,Female,50,Kolkata,3,Grocery,13,26.97,13,3.77,2006.8,7599.6,150,0,2,2,2,Medium,0.68,1448.69,1
C0116,Female,35,Surat,37,Sports,17,38.25,13,7.71,2335.37,17897.37,157,1,3,1,3,Medium,0.65,55101.25,1
C0117,Female,45,Kolkata,33,Grocery,21,14.28,18,7.14,935.66,7049.4,61,1,3,2,2,Low,0.93,18794.82,0
C0118,Male,49,Pune,43,Toys,1,36.01,1,1.08,4834.77,4867.49,27,1,1,1,2,High,0.38,16385.28,0
C0119,Female,29,Jaipur,58,Books,20,15.52,10,12.6,3934.47,52498.2,175,1,5,9,1,Medium,0.4,293383.89,0
C0120,Female,59,Pune,21,Home Decor,16,35.86,19,5.97,6079.83,38050.89,84,1,5,1,2,Medium,0.41,75443.18,0
C0121,Female,44,Delhi,20,Grocery,16,21.4,17,1.55,7900.66,13227.72,142,1,2,0,3,High,0.47,14768.8,1
C0122,Female,27,Bangalore,1,Home Decor,28,7.03,1,7.14,1220.41,8493.19,7,1,2,2,4,Medium,0.51,558.91,1
C0123,Male,63,Chennai,39,Books,21,18.41,1,2.84,2397.67,6368.87,143,1,3,2,3,High,0.78,21504.14,1
C0124,Male,59,Pune,47,Home Decor,27,12.04,17,10.71,5554.9,62570.3,174,1,2,3,4,Low,0.22,185551.78,1
C0125,Male,49,Bangalore,17,Fashion,3,6.32,15,8.79,2127.3,19029.68,156,0,4,2,0,Medium,0.43,33582.19,0
C0126,Male,59,Kolkata,29,Home Decor,2,6.74,2,4.42,532.14,2452.02,171,0,4,7,4,Low,0.51,7197.33,1
C0127,Female,43,Pune,8,Electronics,6,35.54,11,14.28,1145.51,17983.01,10,1,1,11,4,High,0.17,9326.67,1
C0128,Female,42,Pune,26,Grocery,11,39.9,2,4.73,3638.93,16160.61,179,1,4,3,3,Low,0.7,42871.93,1
C0129,Male,28,Hyderabad,28,Books,29,41.87,9,8.55,3617.04,30375.53,3,0,1,9,1,Medium,0.06,55955.24,0
C0130,Female,40,Kolkata,34,Beauty,3,38.72,19,12.12,7786.75,88575.04,103,1,3,0,1,Low,0.59,248691.98,1
C0131,Male,51,Surat,26,Beauty,26,37.7,2,7.95,3887.82,33137.41,44,0,4,1,4,Medium,0.2,86105.71,0
C0132,Male,57,Surat,13,Beauty,1,4.96,16,14.43,5521.12,71973.36,54,0,1,6,3,Low,0.01,71149.41,1
C0133,Male,40,Ahmedabad,44,Books,11,35.98,9,12.74,4089.95,48304.55,162,0,5,5,1,High,0.32,209895.53,0
C0134,Male,46,Jaipur,37,Electronics,13,35.68,4,13.85,2378.37,31279.37,89,0,1,8,1,Low,0.43,78062.35,1
C0135,Female,48,Chennai,13,Home Decor,5,7.65,13,5.9,1111.97,6916.63,25,1,4,5,3,Medium,0.82,7936.44,0
C0136,Male,24,Pune,38,Grocery,18,30.47,15,8.45,6914.87,59931.78,70,1,1,1,4,Medium,0.41,161915.75,1
C0137,Female,57,Pune,25,Sports,15,21.46,2,12.68,1475.5,18292.54,45,1,3,7,0,High,0.92,37610.47,0
C0138,Female,50,Ahmedabad,47,Sports,18,40.7,18,13.6,1046.08,13255.58,68,1,2,8,3,High,0.84,44545.46,0
C0139,Male,38,Jaipur,23,Books,15,31.9,9,14.19,1946.48,26635.1,26,1,5,4,3,High,0.19,61213.63,0
C0140,Female,19,Kolkata,22,Fashion,20,42.89,1,13.25,319.16,4434.75,26,1,3,5,3,Low,0.16,7713.07,0
C0141,Female,35,Pune,21,Electronics,20,6.51,3,11.1,854.13,9257.0,154,1,5,3,4,Low,0.24,21895.26,1
C0142,Male,64,Bangalore,54,Grocery,20,3.75,17,0.85,5191.02,4379.36,112,0,5,10,4,Medium,0.36,22813.61,0
C0143,Female,50,Mumbai,30,Home Decor,7,43.86,11,5.07,2175.32,11268.48,92,0,1,1,3,Medium,0.58,21098.77,1
C0144,Male,54,Jaipur,11,Beauty,17,5.45,8,2.37,2906.54,7457.33,130,0,2,11,1,Medium,0.12,4921.62,1
C0145,Male,51,Pune,4,Electronics,29,18.61,12,2.74,6731.81,17523.29,41,1,1,4,0,High,0.53,4593.4,0
C0146,Male,37,Jaipur,33,Electronics,8,29.95,11,4.72,6251.33,29199.39,173,0,1,4,2,Low,0.58,68016.58,1
C0147,Female,52,Surat,47,Grocery,28,39.84,13,1.58,4090.31,6217.52,14,1,4,0,3,Low,0.66,29641.64,0
C0148,Female,35,Chennai,12,Books,13,12.95,15,4.02,5019.92,20043.61,165,1,1,11,3,High,0.55,16405.14,1
C0149,Male,63,Pune,9,Home Decor,26,3.25,17,14.38,960.75,14358.43,130,1,2,4,4,High,0.83,8556.77,1
C0150,Male,41,Chennai,32,Toys,16,24.42,12,5.02,6164.28,30833.68,5,0,3,0,4,High,0.64,74852.2,0
C0151,Female,25,Delhi,11,Toys,25,22.26,19,2.82,4274.67,12861.11,102,0,1,2,2,Low,0.92,9094.62,1
C0152,Male,47,Mumbai,37,Books,10,15.2,11,10.92,4696.31,51829.96,130,1,2,10,4,High,0.7,127328.87,1
C0153,Male,61,Ahmedabad,24,Books,29,39.58,10,12.51,5424.56,66310.82,129,0,1,8,4,Medium,0.44,99519.34,1
C0154,Female,27,Chennai,7,Fashion,14,34.22,17,5.05,4151.35,22148.05,176,0,5,3,1,High,0.21,13572.89,1
C0155,Female,40,Pune,8,Books,6,38.9,13,4.54,4317.03,19330.12,22,0,1,8,0,Low,0.01,10329.2,0
C0156,Male,28,Hyderabad,33,Home Decor,20,8.96,16,4.01,4147.19,16681.96,41,0,4,5,1,Medium,0.09,53192.85,0
C0157,Female,19,Ahmedabad,25,Fashion,22,31.77,17,6.2,4125.49,28108.58,153,1,5,0,3,Medium,0.19,63145.73,0
C0158,Female,43,Ahmedabad,1,Toys,26,43.93,5,1.76,6076.58,11307.45,46,1,2,11,1,High,0.22,732.31,0
C0159,Male,53,Kolkata,3,Fashion,7,28.31,9,10.2,3589.51,39213.57,94,0,1,2,2,Medium,0.74,6816.5,1
C0160,Female,50,Chennai,40,Beauty,6,9.37,4,12.42,322.28,4077.05,9,1,5,2,1,High,0.39,16531.05,0
C0161,Male,64,Hyderabad,28,Beauty,27,44.82,9,10.12,5012.89,49190.44,101,1,5,3,4,Medium,0.32,151082.92,0
C0162,Female,30,Chennai,43,Toys,17,24.72,16,6.61,7635.5,55429.59,47,1,3,9,2,Low,0.05,162873.78,0
C0163,Female,57,Kolkata,33,Grocery,21,38.12,7,4.69,2278.59,10139.48,74,1,5,3,2,Medium,0.54,34337.99,0
C0164,Female,42,Mumbai,46,Toys,24,8.42,14,6.44,6584.69,45567.29,3,1,2,7,3,Medium,0.61,124195.65,0
C0165,Male,21,Pune,1,Home Decor,8,30.64,14,6.65,3807.27,27401.04,8,1,1,2,3,High,0.88,1664.93,1
C0166,Female,59,Surat,38,Books,12,41.24,7,10.16,5250.96,56738.05,153,0,5,10,4,Medium,0.5,207403.13,0
C0167,Male,36,Surat,53,Fashion,26,24.88,16,13.96,7159.73,92235.38,36,1,2,3,0,High,0.01,331088.71,0
C0168,Male,35,Chennai,27,Grocery,25,14.41,18,1.52,6236.8,10151.33,43,1,3,11,2,Medium,0.07,19768.92,0
C0169,Male,54,Kolkata,38,Fashion,4,7.48,6,14.32,7111.22,105168.26,178,0,1,11,4,Low,0.27,269783.07,1
C0170,Female,47,Jaipur,35,Electronics,10,14.73,7,13.7,373.3,5299.16,63,0,4,2,3,High,0.14,18564.72,0
C0171,Female,36,Pune,10,Sports,6,17.26,19,2.21,1742.33,4071.21,162,0,5,6,3,High,0.77,3820.4,1
C0172,Male,40,Chennai,12,Sports,7,32.53,8,3.16,3560.91,11231.18,138,1,5,5,0,Medium,0.11,13506.54,0
C0173,Female,33,Jaipur,10,Fashion,21,9.68,1,5.02,6828.38,32682.17,27,0,3,0,2,Medium,0.16,27250.59,0
C0174,Male,18,Pune,54,Grocery,27,6.56,17,8.62,6755.62,59106.16,89,1,2,9,2,Medium,0.67,202478.21,1
C0175,Female,29,Jaipur,34,Toys,8,18.64,19,2.45,1725.58,3896.79,13,1,3,0,4,Low,0.24,11547.38,0
C0176,Male,41,Ahmedabad,24,Beauty,3,21.72,7,3.4,1395.27,4909.77,51,1,2,5,0,Medium,0.97,7933.86,1
C0177,Female,51,Chennai,28,Home Decor,8,29.02,18,13.59,6727.21,91110.87,68,0,1,2,1,Medium,0.86,172555.03,1
C0178,Male,25,Kolkata,22,Fashion,15,32.42,6,2.08,4469.04,9299.94,124,1,5,8,4,Low,0.74,21388.95,1
C0179,Female,35,Pune,45,Fashion,21,40.24,6,6.28,5126.13,30169.29,144,0,4,11,2,Medium,0.34,147492.76,1
C0180,Male,22,Surat,16,Home Decor,1,14.43,1,11.56,6530.89,68570.73,140,1,3,11,4,Low,0.06,101581.56,1
C0181,Male,43,Chennai,13,Toys,13,24.73,10,13.38,1930.45,26404.23,25,1,4,1,4,Medium,0.34,32373.34,0
C0182,Male,47,Pune,36,Books,22,17.74,8,5.37,1350.93,7484.94,177,0,4,11,4,Low,0.38,25570.17,1
C0183,Female,30,Pune,36,Beauty,18,2.06,7,2.88,6914.64,19907.36,144,1,5,2,4,High,0.13,77245.57,1
C0184,Female,36,Jaipur,43,Fashion,15,26.92,9,11.19,1160.66,13678.04,103,1,5,8,2,Medium,0.12,56695.58,0
C0185,Male,46,Jaipur,23,Electronics,7,37.08,1,11.7,978.99,11600.15,2,1,4,11,0,High,0.67,26473.47,0
C0186,Female,20,Hyderabad,14,Beauty,15,3.57,11,14.71,2433.48,38289.33,73,1,1,5,0,Medium,0.23,30424.08,0
C0187,Female,43,Chennai,32,Electronics,25,2.15,3,2.52,2739.74,6611.57,123,0,4,0,3,Low,0.68,22848.36,1
C0188,Female,57,Delhi,3,Sports,3,33.3,18,10.79,2156.74,22075.59,127,1,2,1,3,Low,0.55,4827.4,1
C0189,Female,29,Bangalore,27,Home Decor,26,31.41,6,6.55,6010.5,37488.09,77,0,2,6,1,High,0.9,73565.92,1
C0190,Male,19,Delhi,19,Beauty,14,19.45,11,13.76,7794.83,97185.84,78,1,2,5,0,Medium,0.8,124751.48,0
C0191,Male,28,Pune,22,Books,20,30.45,5,6.41,1836.85,12717.61,76,1,2,0,4,Medium,0.15,16579.66,1
C0192,Female,61,Hyderabad,57,Beauty,4,43.0,4,6.97,6320.26,48450.27,163,0,3,9,3,Low,0.61,203858.87,1
C0193,Female,45,Pune,1,Grocery,4,12.66,8,2.34,640.67,1594.07,150,0,1,1,4,Low,0.65,106.47,1
C0194,Female,35,Delhi,5,Grocery,3,12.57,10,5.15,1215.55,6150.65,48,1,3,5,1,High,0.86,2859.12,0
C0195,Male,30,Pune,49,Home Decor,5,10.01,3,6.31,4266.4,26134.53,114,0,3,11,0,Low,0.64,108053.04,0
C0196,Male,54,Jaipur,33,Books,25,33.13,13,0.75,7996.99,6327.24,64,0,2,5,2,Low,0.14,13338.28,1
C0197,Female,39,Chennai,51,Beauty,11,17.19,17,6.84,7610.12,52156.76,150,1,1,5,1,Low,0.26,159542.57,1
C0198,Female,29,Surat,19,Toys,8,44.51,5,5.38,1161.96,6800.79,73,1,1,8,2,Medium,0.64,7140.44,1
C0199,Female,19,Delhi,36,Sports,26,32.73,8,12.16,2145.59,24940.2,47,0,4,1,0,High,0.91,85932.31,0
C0200,Female,54,Bangalore,51,Books,2,17.8,19,2.05,7582.6,14996.6,40,0,3,9,2,Low,0.89,68963.14,0
C0201,Female,24,Bangalore,6,Fashion,28,8.41,18,11.52,1460.57,18504.39,106,0,1,9,0,Medium,0.36,6297.06,1
C0202,Male,43,Jaipur,15,Home Decor,16,27.46,1,10.85,6019.48,71557.41,118,0,5,10,4,Medium,0.83,103019.18,0
C0203,Male,43,Chennai,36,Toys,25,14.68,4,4.01,308.53,1332.52,3,1,3,8,1,High,0.51,3661.05,0
